age,ed,lninc,debtinc,creddebt,lncreddebt,othdebt,lnothdebt,reside,pets,pets_cats,pets_dogs,pets_birds,pets_reptiles,pets_small,pets_saltfish,pets_freshfish,carvalue,commutetime,longmon,lnlongmon,tollten,equipten,cardmon,cardten,wireten,hourstv,income,total_spend,total_spend_ln,birthmonth,jobcat,union,employ,retire,default,marital,homeown,address,carbuy,commute,commutecar,commutemotorcycle,commutecarpool,commutebus,commuterail,commutepublic,commutebike,commutewalk,commutenonmotor,telecommute,polparty,polcontrib,vote,cardfee,cardtenure,card2fee,card2tenure,active,churn,tollfree,equip,callcard,wireless,multline,voice,pager,callid,callwait,forward,confer,ebill,owntv,ownvcr,owndvd,owncd,ownpda,ownpc,ownipod,owngame,ownfax,news,response_01,response_02,response_03,region_2,region_3,region_4,region_5,townsize_2,townsize_3,townsize_4,townsize_5,gender_1,agecat_3,agecat_4,agecat_5,agecat_6,edcat_2,edcat_3,edcat_4,edcat_5,empcat_2,empcat_3,empcat_4,empcat_5,inccat_2,inccat_3,inccat_4,inccat_5,jobsat_2,jobsat_3,jobsat_4,jobsat_5,spousedcat_1,spousedcat_2,spousedcat_3,spousedcat_4,spousedcat_5,hometype_2,hometype_3,hometype_4,addresscat_2,addresscat_3,addresscat_4,addresscat_5,cars_1,cars_2,cars_3,cars_4,cars_5,cars_6,cars_7,cars_8,carown_0,carown_1,cartype_0,cartype_1,carcatvalue_1,carcatvalue_2,carcatvalue_3,carbought_0,carbought_1,commutecat_2,commutecat_3,commutecat_4,commutecat_5,reason_2,reason_3,reason_4,reason_9,polview_2,polview_3,polview_4,polview_5,polview_6,polview_7,card_2,card_3,card_4,card_5,cardtype_2,cardtype_3,cardtype_4,cardbenefit_2,cardbenefit_3,cardbenefit_4,cardtenurecat_2,cardtenurecat_3,cardtenurecat_4,cardtenurecat_5,card2_2,card2_3,card2_4,card2_5,card2type_2,card2type_3,card2type_4,card2benefit_2,card2benefit_3,card2benefit_4,card2tenurecat_2,card2tenurecat_3,card2tenurecat_4,card2tenurecat_5,bfast_2,bfast_3,internet_1,internet_2,internet_3,internet_4
20,15,3.4339872044851463,11.1,1.2009089999999998,0.18307877003563325,2.240091,0.8065164900417755,3,0,0,0,0,0,0,0,0,14.3,22.0,6.5,1.8718021769015913,161.05,126.1,14.25,60.0,0.0,13,31,149.45999999999998,5.0070287985021436,9,1,1,0,0,1,0,0,0,0,8,0,1,1,0,0,0,0,1,0,0,1,0,1,0,2,0,3,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
22,17,2.70805020110221,18.6,1.2220199999999999,0.20050522722758324,1.5679800000000002,0.44978816674482835,2,6,0,0,0,0,0,0,6,6.800000000000001,29.0,8.9,2.186051276738094,0.0,1975.0,16.0,610.0,1683.55,18,15,77.53999999999999,4.350793932242783,5,2,0,0,0,1,0,1,2,0,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,4,0,4,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
67,14,3.5553480614894135,9.9,0.9286200000000001,-0.0740556658294137,2.5363800000000003,0.9307378676210412,3,3,2,1,0,0,0,0,0,18.8,24.0,28.4,3.3463891451671604,0.0,0.0,23.0,1410.0,0.0,21,35,359.97,5.886020694644407,6,2,0,16,0,0,1,1,30,1,4,1,0,1,1,1,0,0,0,0,0,1,0,0,0,35,0,25,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
23,16,2.995732273553991,5.7,0.03316008,-3.4016901129336294,1.1172000000000002,0.11082555508888482,5,0,0,0,0,0,0,0,0,8.700000000000001,38.0,6.0,1.791759469228055,0.0,0.0,21.0,685.0,0.0,26,20,359.41,5.884463798113738,5,2,0,0,0,1,1,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
26,16,3.1354942159291497,1.7000000000000002,0.21465900000000002,-1.5387045564693775,0.176341,-1.73533565847623,4,0,0,0,0,0,0,0,0,10.600000000000001,32.0,3.05,1.1151415906193203,387.7,0.0,17.25,360.0,410.8,27,23,507.83000000000004,6.230146745902833,7,2,0,1,0,0,1,0,3,1,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,8,0,9,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
64,17,4.672828834461906,5.6000000000000005,1.060584,0.05881969980661042,4.9314160000000005,1.5956261679098511,1,11,1,1,0,0,2,0,7,-1.0,23.0,8.1,2.0918640616783932,726.6,970.95,28.25,765.0,0.0,21,107,228.27,5.430529138856541,8,3,0,22,0,0,0,1,31,0,8,0,0,0,0,1,0,0,1,0,0,0,0,0,1,18,1,9,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
52,14,4.343805421853684,1.9,0.501809,-0.68953570977821,0.9611909999999999,-0.03958213845953938,1,2,0,2,0,0,0,0,0,25.6,32.0,3.8,1.33500106673234,0.0,0.0,0.0,0.0,0.0,19,77,952.46,6.859048111368396,7,1,0,10,0,0,0,0,21,0,4,1,0,0,1,0,0,1,1,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0
44,16,4.574710978503383,14.399999999999999,5.950367999999999,1.7834530663844796,8.017631999999999,2.081643116434676,2,10,0,2,0,0,0,0,8,55.5,31.0,14.85,2.6979998652487085,1110.4,0.0,14.5,630.0,0.0,13,97,1304.8000000000002,7.173805051306804,10,1,0,11,0,0,1,1,20,1,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,25,0,20,0,0,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
66,12,2.772588722239781,2.6,0.102336,-2.279493761770648,0.313664,-1.1594329296950547,1,1,1,0,0,0,0,0,0,8.6,25.0,21.05,3.0469005601283903,0.0,0.0,15.5,830.0,0.0,25,16,467.83000000000004,6.148104982063913,10,1,0,15,1,0,0,1,21,0,4,1,1,0,1,1,0,0,0,0,0,1,1,1,0,26,0,17,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0
47,11,4.430816798843313,4.1000000000000005,1.7702159999999998,0.5711015730385123,1.6737840000000002,0.5150869314838412,2,1,1,0,0,0,0,0,0,41.0,29.0,3.65,1.2947271675944,0.0,0.0,0.0,0.0,0.0,21,84,310.81,5.739181793008062,7,6,0,19,0,0,0,1,19,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
