age,ed,lninc,debtinc,creddebt,lncreddebt,othdebt,lnothdebt,spoused,reside,pets,pets_cats,pets_dogs,pets_birds,pets_reptiles,pets_small,pets_saltfish,pets_freshfish,carvalue,commutetime,tenure,longmon,lnlongmon,longten,lnlongten,tollmon,tollten,equipmon,equipten,cardmon,cardten,wiremon,wireten,hourstv,income,total_spend,total_spend_ln
20,15,3.4339872044851463,11.1,1.2009089999999998,0.18307877003563325,2.240091,0.8065164900417755,-1,3,0,0,0,0,0,0,0,0,14.3,22.0,5,6.5,1.8718021769015913,34.4,3.5380565643793527,29.0,161.05,29.5,126.1,14.25,60.0,0.0,0.0,13,31,149.45999999999998,5.0070287985021436
22,17,2.70805020110221,18.6,1.2220199999999999,0.20050522722758324,1.5679800000000002,0.44978816674482835,-1,2,6,0,0,0,0,0,0,6,6.800000000000001,29.0,39,8.9,2.186051276738094,330.6,5.8009091853869235,0.0,0.0,54.85,1975.0,16.0,610.0,45.65,1683.55,18,15,77.53999999999999,4.350793932242783
67,14,3.5553480614894135,9.9,0.9286200000000001,-0.0740556658294137,2.5363800000000003,0.9307378676210412,13,3,3,2,1,0,0,0,0,0,18.8,24.0,65,28.4,3.3463891451671604,1858.35,7.527444276229858,0.0,0.0,0.0,0.0,23.0,1410.0,0.0,0.0,21,35,359.97,5.886020694644407
23,16,2.995732273553991,5.7,0.03316008,-3.4016901129336294,1.1172000000000002,0.11082555508888482,18,5,0,0,0,0,0,0,0,0,8.700000000000001,38.0,36,6.0,1.791759469228055,199.45,5.295563578351415,0.0,0.0,0.0,0.0,21.0,685.0,0.0,0.0,26,20,359.41,5.884463798113738
26,16,3.1354942159291497,1.7000000000000002,0.21465900000000002,-1.5387045564693775,0.176341,-1.73533565847623,13,4,0,0,0,0,0,0,0,0,10.600000000000001,32.0,21,3.05,1.1151415906193203,74.1,4.3054155323020415,16.5,387.7,0.0,0.0,17.25,360.0,19.05,410.8,27,23,507.83000000000004,6.230146745902833
64,17,4.672828834461906,5.6000000000000005,1.060584,0.05881969980661042,4.9314160000000005,1.5956261679098511,-1,1,11,1,1,0,0,2,0,7,-1.0,23.0,28,8.1,2.0918640616783932,264.9,5.579352396278024,26.75,726.6,35.5,970.95,28.25,765.0,0.0,0.0,21,107,228.27,5.430529138856541
52,14,4.343805421853684,1.9,0.501809,-0.68953570977821,0.9611909999999999,-0.03958213845953938,-1,1,2,0,2,0,0,0,0,0,25.6,32.0,15,3.8,1.33500106673234,44.8,3.8022081394209395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,77,952.46,6.859048111368396
44,16,4.574710978503383,14.399999999999999,5.950367999999999,1.7834530663844796,8.017631999999999,2.081643116434676,15,2,10,0,2,0,0,0,0,8,55.5,31.0,46,14.85,2.6979998652487085,612.7,6.417875419731609,24.0,1110.4,0.0,0.0,14.5,630.0,0.0,0.0,13,97,1304.8000000000002,7.173805051306804
66,12,2.772588722239781,2.6,0.102336,-2.279493761770648,0.313664,-1.1594329296950547,-1,1,1,1,0,0,0,0,0,0,8.6,25.0,53,21.05,3.0469005601283903,1074.35,6.979471106523738,0.0,0.0,0.0,0.0,15.5,830.0,0.0,0.0,25,16,467.83000000000004,6.148104982063913
47,11,4.430816798843313,4.1000000000000005,1.7702159999999998,0.5711015730385123,1.6737840000000002,0.5150869314838412,-1,2,1,1,0,0,0,0,0,0,41.0,29.0,3,3.65,1.2947271675944,20.05,2.998229153752578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,84,310.81,5.739181793008062
